Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
27,Anthony,anthonyffm4,https://www.tiktok.com/@anthonyffm4,Geschwindigkeitsbegrenzung und CO2 Steuer😒,02.09.21,9,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/a6d482255d3bf05c3199219900fe518d~c5_100x100.jpg?x-expires=1702054800&x-signature=64NLxKt6%2FuVdVQrwNCX2aPPy%2BN8%3D,No,---,0
28,Demetrius demarcus the third,jp86756633,https://www.tiktok.com/@jp86756633,Ich finde sie korrekt aber leider ihre Partei nicht,02.09.21,54,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/295addd40f6af3b8bafc2ece395da520~c5_100x100.jpg?x-expires=1702054800&x-signature=FEhxYbzKZsSjsrWYJ9axodX%2BmwI%3D,No,---,0
29,Luis,luuuis361,https://www.tiktok.com/@luuuis361,@kmbbeat dikka diese Frau junge da werd ich so fuchsig,02.09.21,11,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/98479864c79a4fd821c4a003dfa8b087~c5_100x100.jpg?x-expires=1702054800&x-signature=serWBgE3QHy0CFg7BjnCacjmVDg%3D,No,---,0
30,Heyd Nickus 30🥝,derfliegendepastator,https://www.tiktok.com/@derfliegendepastator,Kann Von der Leyen mal ihr Handy zeigen?,02.09.21,90,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/4b8119d8ef291803aaa25a23c17d04ac~c5_100x100.jpg?x-expires=1702054800&x-signature=CXLcYZVRxbZ5fUEValEuxhlEzEQ%3D,No,---,0
31,Roman,romanf0452,https://www.tiktok.com/@romanf0452,Ich der 21 Handys habe... Es wird nix gespendet KAPITALISMUS,02.09.21,25,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/a1c0bf5b0ce9ec39159c2619f54d3470~c5_100x100.jpg?x-expires=1702054800&x-signature=tqWRwU4kQCJ%2Fr%2F0tlRgA7iNyzR8%3D,No,---,0
32,user672030782657,jens_mander,https://www.tiktok.com/@jens_mander,Das sind doch mal hochwertige Fragen an eine Kanzlerkandidatin. War das im Kindergarten?,02.09.21,282,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1702054800&x-signature=BZFu0OqdauDQr6uMxNGPOSlGjfk%3D,No,---,1
33,FUNKE · Creator*in,funke,https://www.tiktok.com/@funke,es gibt auch ein Video mit politischen Fragen, für alle die es nur seriös mögen 😉,02.09.21,327,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/01929241d015932ff41aae7f38d76dfa~c5_100x100.jpeg?x-expires=1702141200&x-signature=2hqman56n8KumCKnDS5HTqJOnv4%3D,Yes,user672030782657,0
34,Jan Niederkrome,janniederkrome,https://www.tiktok.com/@janniederkrome,Ich sehe es schon kommen: Die Kinder von ihr dadeln an ihrem Diensthandy herum und schreiben aus Versehen ein böse Nachricht an Putin oder so,02.09.21,57,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/fc3a31f61ccd0fc945224c22e94e37ea~c5_100x100.jpg?x-expires=1702054800&x-signature=bd6McTEmBb2lJJDMAQxfB8yQLRQ%3D,No,---,0
35,elias_g,u82747374,https://www.tiktok.com/@u82747374,Sie hat kein Fairphone?😱,02.09.21,98,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/dae37e9b57de7d0c425e038fab047cc1~c5_100x100.jpg?x-expires=1702054800&x-signature=ByYZFYQBYGVPFwtsWQOk%2Bw1yypA%3D,No,---,0
36,Manno,lonlyrider997,https://www.tiktok.com/@lonlyrider997,Mega interessant. Gerne mehr davon,02.09.21,594,https://p16-sg.tiktokcdn.com/img/user-avatar-alisg/lpjg0xir8ffow88nsduzj4r4tj0shwik~120x256.image,No,---,0
